Ticker,Date,Bloomberg ESG Score,Bloomberg Environmental Pillar,Bloomberg Governance Pillar,Bloomberg Social Pillar,S&P Global ESG Rank,S&P Global Governance & Economic Dimension Rank,S&P Global Environmental Dimension Rank,S&P Global Social Dimension Rank,Month,Year,Price,Credit Risk Indicator,Beta,Alpha,Issuer Default Risk,30 Day Volatility,P/E Ratio,Revenue,Market Cap,Historical Market Cap,EPS,Yahoo Finance ESG Score,Yahoo Finance Environmental Score,Yahoo Finance Social Score,Yahoo Finance Governance Score,Monthly Return,GICS Sector,GICS Industry,GICS Industry Group,GICS Sub-Industry,Lasso Model
A,2015-11-30,2.74,1.5,5.63,1.62,,,,,11,2015,41.82,IG2,1.2035,-0.4682,IG1,21.923,28.6375,1035.0,13859.283,12536.32,0.42,71.0,61.0,82.0,71.0,0.1075211864406779,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2015-12-31,2.74,1.5,5.63,1.62,,,,,12,2015,41.81,IG2,1.1863,-0.3423,IG1,23.57,28.6307,1035.0,13888.0653,12536.32,0.42,70.5,60.56,82.08,70.69,-0.0002391200382592,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-01-31,2.74,1.5,5.63,1.62,,,,,1,2016,37.65,IG2,1.301,-0.8158,IG1,29.304,24.9317,1035.0,12340.4987,12536.32,0.42,,,,,-0.0994977278163119,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-02-29,2.74,1.5,5.63,1.62,,,,,2,2016,37.35,IG2,1.3876,-0.5029,IG1,29.808,24.7331,1028.0,12242.1681,12349.2,0.37,70.45,60.41,82.08,70.69,-0.0079681274900397,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-03-31,2.74,1.5,5.63,1.62,,,,,3,2016,39.85,IG2,1.3406,-0.5072,IG1,23.967,26.3886,1028.0,13061.6377,12349.2,0.37,71.96,60.42,82.08,74.03,0.0669344042838018,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-04-30,2.74,1.5,5.63,1.62,,,,,4,2016,40.92,IG2,1.3411,-0.2335,IG1,17.394,26.7484,1028.0,13412.3517,12349.2,0.37,71.96,60.42,82.08,74.03,0.0268506900878293,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-05-31,2.74,1.5,5.63,1.62,,,,,5,2016,45.89,IG2,1.3667,0.1621,IG1,16.789,29.9972,1019.0,15041.369,13299.0,0.28,71.96,60.42,82.08,74.03,0.1214565004887584,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-06-30,2.74,1.5,5.63,1.62,,,,,6,2016,44.36,IG2,1.369,0.0094,IG1,25.905,28.9971,1019.0,14440.1425,13299.0,0.28,72.09,60.42,82.62,74.03,-0.0333405970799738,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-07-31,2.74,1.5,5.63,1.62,,,,,7,2016,48.11,IG2,1.39,0.114,IG1,28.642,30.7221,1019.0,15660.8489,13299.0,0.28,72.09,60.42,82.62,74.03,0.0845356176735798,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-08-31,2.74,1.5,5.63,1.62,,,,,8,2016,46.98,IG2,1.4389,0.0738,IG1,19.06,30.0005,1044.0,15293.0094,15587.64,0.38,,,,,-0.0234878403658284,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-09-30,2.74,1.5,5.63,1.62,100.0,100.0,100.0,89.0,9,2016,47.09,IG2,1.4384,0.0894,IG1,22.16,30.0707,1044.0,15275.2786,15587.64,0.38,68.98,61.62,87.51,63.59,0.0023414218816519,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-10-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,10,2016,43.57,IG2,1.4985,0.1721,IG1,23.594,27.0396,1111.0,14133.4442,14116.68,0.39,68.98,61.62,87.51,63.59,-0.074750477808452,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-11-30,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,11,2016,43.98,IG2,1.4326,-0.0205,IG1,26.895,27.294,1111.0,14266.442,14116.68,0.39,68.98,61.62,87.51,63.59,0.0094101445949046,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2016-12-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,12,2016,45.56,IG2,1.4348,0.0037,IG1,20.144,28.2746,1111.0,14658.8341,14116.68,0.39,66.25,61.62,87.51,57.54,0.0359254206457482,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-01-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,1,2017,48.97,IG2,1.3877,0.2257,IG1,21.775,27.9601,1067.0,15755.9944,15768.34,0.52,66.25,61.62,87.51,57.54,0.0748463564530288,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-02-28,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,2,2017,51.3,IG2,1.3825,0.1301,IG1,17.763,29.2904,1067.0,16521.5667,15768.34,0.52,,,,,0.0475801511129263,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-03-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,3,2017,52.87,IG2,1.3771,0.2596,IG1,16.849,30.1868,1067.0,17040.0488,15768.34,0.52,66.25,61.62,87.51,57.54,0.0306042884990254,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-04-30,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,4,2017,55.05,IG2,1.3805,0.4427,IG1,13.009,28.5429,1067.0,17742.6647,15768.34,0.52,66.39,61.62,88.06,57.54,0.0412332135426518,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-05-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,5,2017,60.34,IG2,1.3635,1.0418,IG1,17.973,31.2857,1102.0,19447.6365,17671.05,0.51,66.39,61.62,88.06,57.54,0.0960944595821982,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-06-30,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,6,2017,59.31,IG2,1.3659,0.8937,IG1,19.165,30.7516,1102.0,19058.5237,17671.05,0.51,66.39,61.62,88.06,57.54,-0.0170699370235333,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-07-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,7,2017,59.79,IG2,1.3473,0.6941,IG1,13.763,31.6935,1114.0,19212.7657,19252.38,0.55,66.39,61.62,88.06,57.54,0.0080930703085482,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-08-31,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,8,2017,64.72,IG2,1.2556,1.2449,IG1,20.745,34.3068,1114.0,20796.9593,19252.38,0.55,66.39,61.62,88.06,57.54,0.0824552600769359,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-09-30,2.82,1.5,5.91,1.64,100.0,100.0,100.0,89.0,9,2017,64.2,IG2,1.1958,1.2801,IG1,12.408,34.0311,1114.0,20661.3578,19252.38,0.55,65.76,59.78,89.15,56.75,-0.0080346106304078,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-10-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,10,2017,68.03,IG2,1.3419,0.8283,IG1,11.529,34.5991,1189.0,21893.959,21905.66,0.55,65.76,59.78,89.15,56.75,0.0596573208722741,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-11-30,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,11,2017,69.24,IG2,1.3095,0.7411,IG1,15.862,35.2145,1189.0,22295.28,21905.66,0.55,65.76,59.78,89.15,56.75,0.0177862707628986,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2017-12-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,12,2017,66.97,IG2,1.3459,0.3759,IG1,19.085,34.06,1189.0,21632.5173,21905.66,0.55,65.76,59.78,89.15,56.75,-0.0327845176198728,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-01-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,1,2018,73.43,IG2,1.2204,0.862,IG1,16.36,34.5984,1211.0,23719.2137,23715.1731,-0.99,65.76,59.78,89.15,56.75,0.096461101985964,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-02-28,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,2,2018,68.59,IG2,1.2911,0.6138,IG1,28.665,32.3179,1211.0,22152.0322,23715.1731,-0.99,64.45,59.78,83.94,56.75,-0.0659131145308457,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-03-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,3,2018,66.9,IG2,1.3955,0.6219,IG1,21.325,31.5216,1211.0,21573.6831,23715.1731,-0.99,65.58,62.58,80.35,59.37,-0.0246391602274383,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-04-30,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,4,2018,65.74,IG2,1.3885,0.0457,IG1,28.289,29.3237,1206.0,21199.6103,21168.28,0.64,65.58,62.58,80.35,59.37,-0.0173393124065771,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-05-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,5,2018,61.92,IG2,1.3237,-0.2351,IG1,36.025,27.6197,1206.0,19811.4356,21168.28,0.64,65.58,62.58,80.35,59.37,-0.058107696988135,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-06-30,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,6,2018,61.84,IG2,1.3048,-0.0945,IG1,20.751,27.584,1206.0,19785.8395,21168.28,0.64,65.58,62.58,80.35,59.37,-0.0012919896640826,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-07-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,7,2018,66.04,IG2,1.2601,-0.0014,IG1,19.561,25.2856,1203.0,21129.6384,21066.76,0.74,65.58,62.58,80.35,59.37,0.0679172056921086,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-08-31,2.9,1.5,6.35,1.6,100.0,100.0,100.0,92.0,8,2018,67.54,IG2,1.2379,-0.0408,IG1,19.99,25.8599,1203.0,21529.6952,21066.76,0.74,65.58,62.58,80.35,59.37,0.0227135069654753,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-09-30,2.9,1.5,6.35,1.6,100.0,100.0,100.0,100.0,9,2018,70.54,IG2,1.2208,0.1356,IG1,12.099,27.0086,1203.0,22486.0038,21066.76,0.74,65.58,62.58,80.35,59.37,0.0444181225940183,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
A,2018-10-31,2.97,1.5,6.6,1.61,100.0,100.0,100.0,100.0,10,2018,64.79,IG2,1.1255,0.535,IG1,27.411,23.2181,1294.0,20653.079,20603.22,0.61,65.42,62.05,80.35,59.37,-0.0815140345903033,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,
